"","id","nome","cpf","rua","terreno","casa","X","dms_x_M02","dms_x_M03","dms_x_M04","dms_x_M01","dms_y_M02","dms_y_M03","dms_y_M04","dms_y_M01","x_M02","x_M03","x_M04","x_M01","y_M02","y_M03","y_M04","y_M01"
"1",1,"Ze_e_Maria_1",87131597795,"rua Tukano",1,NA,1,"59°54′52,1″W","59°54′52,8″W","59°54′52,8″W","59°54′52,1″W","3°4′2,6″S","3°4′2,7″S","3°4′2,5″S","3°4′2,3″S",-59.9144621015576,-59.91465658299,-59.9146768543444,-59.9144832805037,-3.06738167148717,-3.06742587266254,-3.0673530815586,-3.06731801257938
"2",2,"Ze_e_Maria_2",57332758082,"rua Tukano",2,2,2,"59°54′52,0″W","59°54′52,7″W","59°54′52,8″W","59°54′52,1″W","3°4′2,8″S","3°4′3,0″S","3°4′2,7″S","3°4′2,6″S",-59.9144402381824,-59.9146330773019,-59.91465658299,-59.9144621015576,-3.06744530836678,-3.06749600153668,-3.06742587266254,-3.06738167148717
"3",3,"Ze_e_Maria_3",71397404983,"rua Tukano",3,3,3,"59°54′51,9″W","59°54′52,6″W","59°54′52,7″W","59°54′52,0″W","3°4′3,0″S","3°4′3,2″S","3°4′3,0″S","3°4′2,8″S",-59.9144211966687,-59.9146138918579,-59.9146330773019,-59.9144402381824,-3.06750401391446,-3.06755844809267,-3.06749600153668,-3.06744530836678
"4",4,"Ze_e_Maria_4",62159004304,"rua Tukano",4,4,4,"59°54′51,8″W","59°54′52,5″W","59°54′52,6″W","59°54′51,9″W","3°4′3,3″S","3°4′3,5″S","3°4′3,2″S","3°4′3,0″S",-59.9143985123899,-59.9145933584483,-59.9146138918579,-59.9144211966687,-3.06757251989132,-3.06762528212777,-3.06755844809267,-3.06750401391446
"5",5,"Ze_e_Maria_5",47801498017,"rua Tukano",5,5,5,"59°54′51,8″W","59°54′52,5″W","59°54′52,5″W","59°54′51,8″W","3°4′3,5″S","3°4′3,7″S","3°4′3,5″S","3°4′3,3″S",-59.9143753802349,-59.9145741532399,-59.9145933584483,-59.9143985123899,-3.06763949352392,-3.06768819784771,-3.06762528212777,-3.06757251989132
"6",6,"Ze_e_Maria_6",81624681728,"rua Tukano",6,6,6,"59°54′51,7″W","59°54′52,4″W","59°54′52,5″W","59°54′51,8″W","3°4′3,8″S","3°4′3,9″S","3°4′3,7″S","3°4′3,5″S",-59.9143524733546,-59.9145516237675,-59.9145741532399,-59.9143753802349,-3.06770879800391,-3.06775564713164,-3.06768819784771,-3.06763949352392
"7",7,"Ze_e_Maria_7",76591980156,"rua Tukano",7,7,7,"59°54′51,6″W","59°54′52,3″W","59°54′52,4″W","59°54′51,7″W","3°4′4,0″S","3°4′4,2″S","3°4′3,9″S","3°4′3,8″S",-59.9143309149554,-59.9145229579459,-59.9145515862034,-59.9143524733546,-3.06777187281545,-3.06782379769618,-3.06775563829488,-3.06770879800391
"8",8,"Ze_e_Maria_8",84438519576,"rua Tukano",8,8,8,"59°54′51,5″W","59°54′52,2″W","59°54′52,3″W","59°54′51,6″W","3°4′4,2″S","3°4′4,4″S","3°4′4,2″S","3°4′4,0″S",-59.9143104267186,-59.9144947485582,-59.9145229579459,-59.9143307961542,-3.06783359734066,-3.06788981070312,-3.06782379769618,-3.06777184069382
"9",9,"Ze_e_Maria_9",41514805256,"rua Tukano",9,9,9,"59°54′51,4″W","59°54′52,1″W","59°54′52,2″W","59°54′51,5″W","3°4′4,4″S","3°4′4,6″S","3°4′4,4″S","3°4′4,2″S",-59.9142824619611,-59.9144657608759,-59.9144947485582,-59.9143104267186,-3.06789911881739,-3.06795742920411,-3.06788981070312,-3.06783359734066
"10",10,"Ze_e_Maria_10",66443468854,"rua Tukano",10,10,10,"59°54′51,3″W","59°54′52,0″W","59°54′52,1″W","59°54′51,4″W","3°4′4,7″S","3°4′4,9″S","3°4′4,6″S","3°4′4,4″S",-59.9142525721244,-59.9144388760924,-59.9144657608759,-59.9142824619611,-3.06796931273366,-3.06802616319167,-3.06795742920411,-3.06789911881739
"11",11,"Ze_e_Maria_11",70226281424,"rua Tukano",11,11,11,"59°54′51,2″W","59°54′51,9″W","59°54′52,0″W","59°54′51,3″W","3°4′4,9″S","3°4′5,1″S","3°4′4,9″S","3°4′4,7″S",-59.914226157536,-59.9144127495751,-59.9144388760924,-59.9142525721244,-3.06803125562711,-3.06809290858822,-3.06802616319167,-3.06796931273366
"12",12,"Ze_e_Maria_12",45314121146,"rua Tukano",12,12,12,"59°54′51,1″W","59°54′51,8″W","59°54′51,9″W","59°54′51,2″W","3°4′5,1″S","3°4′5,4″S","3°4′5,1″S","3°4′4,9″S",-59.9141985618291,-59.914385902171,-59.9144127338167,-59.914226157536,-3.06809569695231,-3.06816084987507,-3.06809295182917,-3.06803125562711
"13",13,"Ze_e_Maria_13",92097124738,"rua Tukano",13,13,13,"59°54′51,0″W","59°54′51,7″W","59°54′51,8″W","59°54′51,1″W","3°4′5,4″S","3°4′5,6″S","3°4′5,4″S","3°4′5,1″S",-59.9141706870208,-59.9143540082055,-59.9143860710261,-59.9141984105017,-3.06816100766184,-3.06822858112738,-3.0681609085992,-3.06809564236756
"14",14,"Ze_e_Maria_14",46381991615,"rua Tukano",14,14,14,"59°54′50,9″W","59°54′51,6″W","59°54′51,7″W","59°54′51,0″W","3°4′5,6″S","3°4′5,9″S","3°4′5,6″S","3°4′5,4″S",-59.9141446405928,-59.9143239705596,-59.9143540082055,-59.9141705902017,-3.06822203447064,-3.06829248340535,-3.06822858112738,-3.06816097046944
"15",15,"Ze_e_Maria_15",99030715189,"rua Tukano",15,15,15,"59°54′50,8″W","59°54′51,5″W","59°54′51,6″W","59°54′50,9″W","3°4′5,8″S","3°4′6,1″S","3°4′5,9″S","3°4′5,6″S",-59.914118089401,-59.9142921646035,-59.9143240402086,-59.9141444333776,-3.06828424393794,-3.06835875707659,-3.06829251076706,-3.06822195187374
"16",16,"Ze_e_Maria_16",44818244511,"rua Tukano",16,16,16,"59°54′50,7″W","59°54′51,3″W","59°54′51,5″W","59°54′50,8″W","3°4′6,1″S","3°4′6,4″S","3°4′6,1″S","3°4′5,8″S",-59.9140843365659,-59.9142546427103,-59.9142925444581,-59.9141175992862,-3.0683634581878,-3.06843695497799,-3.06835891961201,-3.06828406257699
"17",17,"Ze_e_Maria_17",97362555837,"av Ipixuna",5,5,17,"59°54′52,8″W","59°54′52,8″W","59°54′53,4″W","59°54′53,5″W","3°4′2,5″S","3°4′2,7″S","3°4′2,9″S","3°4′2,6″S",-59.9146768543444,-59.914657831749,-59.9148381475421,-59.9148613500339,-3.0673530815586,-3.0674214116561,-3.06746525930334,-3.06738660471014
"18",18,"Ze_e_Maria_18",84226985062,"rua Kokama",4,4,18,"59°54′52,8″W","59°54′52,7″W","59°54′53,3″W","59°54′53,4″W","3°4′2,7″S","3°4′3,0″S","3°4′3,1″S","3°4′2,9″S",-59.9146577339931,-59.9146330773019,-59.9148180616589,-59.9148379573987,-3.06742138805277,-3.06749600153668,-3.06753721167273,-3.06746490329528
"19",19,"Ze_e_Maria_19",18827139368,"rua Kokama",6,6,19,"59°54′52,7″W","59°54′52,6″W","59°54′53,3″W","59°54′53,3″W","3°4′3,0″S","3°4′3,2″S","3°4′3,4″S","3°4′3,1″S",-59.9146330967083,-59.9146138918579,-59.9147980624767,-59.9148180616589,-3.06749593837097,-3.06755844809267,-3.06760708213344,-3.06753721167273
"20",20,"Ze_e_Maria_20",52846040591,"rua Kokama",8,8,20,"59°54′52,6″W","59°54′52,5″W","59°54′53,2″W","59°54′53,3″W","3°4′3,2″S","3°4′3,5″S","3°4′3,6″S","3°4′3,4″S",-59.9146138918579,-59.9145933584483,-59.914777907434,-59.9147980197433,-3.06755844809267,-3.06762528212777,-3.06767734924656,-3.0676070708488
"21",21,"Ze_e_Maria_21",46389735078,"rua Kokama",10,10,21,"59°54′52,5″W","59°54′52,5″W","59°54′53,1″W","59°54′53,2″W","3°4′3,5″S","3°4′3,7″S","3°4′3,9″S","3°4′3,6″S",-59.9145933584483,-59.9145741532399,-59.9147556251123,-59.914777907434,-3.06762528212777,-3.06768819784771,-3.06774396438632,-3.06767734924656
"22",22,"Ze_e_Maria_22",83545406875,"rua Kokama",12,12,22,"59°54′52,5″W","59°54′52,4″W","59°54′53,0″W","59°54′53,1″W","3°4′3,7″S","3°4′3,9″S","3°4′4,1″S","3°4′3,9″S",-59.9145741532399,-59.9145516237675,-59.9147322675011,-59.9147556251123,-3.06768819784771,-3.06775564713164,-3.06781371346597,-3.06774396438632
"23",23,"Ze_e_Maria_23",35638340103,"rua Kokama",14,14,23,"59°54′52,4″W","59°54′52,3″W","59°54′52,9″W","59°54′53,0″W","3°4′3,9″S","3°4′4,2″S","3°4′4,4″S","3°4′4,1″S",-59.9145516237675,-59.9145229579459,-59.914704685032,-59.9147322675011,-3.06775564713164,-3.06782379769618,-3.06788077668841,-3.06781376295912
"24",24,"Ze_e_Maria_24",90284437260,"rua Kokama",16,16,24,"59°54′52,3″W","59°54′52,2″W","59°54′52,8″W","59°54′52,9″W","3°4′4,2″S","3°4′4,4″S","3°4′4,6″S","3°4′4,4″S",-59.9145229579459,-59.9144947485582,-59.9146765325746,-59.914704685032,-3.06782379769618,-3.06788981070312,-3.06794932470109,-3.06788077668841
"25",25,"Ze_e_Maria_25",28340529164,"rua Kokama",18,18,25,"59°54′52,2″W","59°54′52,1″W","59°54′52,7″W","59°54′52,8″W","3°4′4,4″S","3°4′4,6″S","3°4′4,9″S","3°4′4,6″S",-59.914495770579,-59.9144657608759,-59.9146491149736,-59.9146765325746,-3.06789007177561,-3.06795742920411,-3.06801546052736,-3.06794932470109
"26",26,"Ze_e_Maria_26",83529741611,"rua Kokama",20,20,26,"59°54′52,1″W","59°54′52,0″W","59°54′52,6″W","59°54′52,7″W","3°4′4,6″S","3°4′4,9″S","3°4′5,1″S","3°4′4,9″S",-59.9144657608759,-59.91444048228,-59.9146211393995,-59.9146491149736,-3.06795742920411,-3.06802166989474,-3.06808331901236,-3.06801546052736
"27",27,"Ze_e_Maria_27",63681996406,"rua Kokama",22,22,27,"59°54′52,0″W","59°54′51,9″W","59°54′52,5″W","59°54′52,6″W","3°4′4,9″S","3°4′5,1″S","3°4′5,3″S","3°4′5,1″S",-59.91444048228,-59.9144159772425,-59.9145944395939,-59.9146211393995,-3.06802166989474,-3.06808459536836,-3.06814812507344,-3.06808331901236
"28",28,"Ze_e_Maria_28",85898334396,"rua Kokama",24,24,28,"59°54′51,9″W","59°54′51,8″W","59°54′52,4″W","59°54′52,5″W","3°4′5,1″S","3°4′5,3″S","3°4′5,6″S","3°4′5,3″S",-59.9144158019271,-59.9143896399905,-59.9145648559952,-59.9145949284673,-3.06808453295879,-3.06815154548624,-3.06821855794628,-3.068148299237
"29",29,"Ze_e_Maria_29",86564856955,"rua Kokama",26,26,29,"59°54′51,8″W","59°54′51,7″W","59°54′52,3″W","59°54′52,4″W","3°4′5,3″S","3°4′5,5″S","3°4′5,8″S","3°4′5,6″S",-59.9143896399905,-59.9143672753636,-59.914540167887,-59.9145648559952,-3.06815154548624,-3.06820187972089,-3.0682744754999,-3.06821855794628
"30",30,"Ze_e_Maria_30",19769888433,"rua Kokama",28,28,30,"59°54′51,7″W","59°54′51,6″W","59°54′52,2″W","59°54′52,3″W","3°4′5,5″S","3°4′5,7″S","3°4′6,0″S","3°4′5,8″S",-59.9143674231529,-59.9143394501996,-59.9145115942246,-59.914540167887,-3.06820194177609,-3.06826048868403,-3.06833731507478,-3.0682744754999
"31",31,"Ze_e_Maria_31",83483013444,"rua Kokama",32,32,31,"59°54′51,5″W","59°54′51,4″W","59°54′52,0″W","59°54′52,1″W","3°4′6,0″S","3°4′6,2″S","3°4′6,4″S","3°4′6,2″S",-59.9143108074321,-59.914283477839,-59.9144507989421,-59.9144804600208,-3.06832005487361,-3.06837778978944,-3.06845321902782,-3.06839580655012
"32",32,"Ze_e_Maria_32",45708919502,"rua Kokama",30,30,32,"59°54′51,6″W","59°54′51,5″W","59°54′52,1″W","59°54′52,2″W","3°4′5,7″S","3°4′6,0″S","3°4′6,2″S","3°4′6,0″S",-59.9143394501996,-59.9143108074321,-59.9144804600208,-59.9145115942246,-3.06826048868403,-3.06832005487361,-3.06839580655012,-3.06833731507478
"33",33,"Ze_e_Maria_33",16007273986,"rua Kokama",34,34,33,"59°54′51,4″W","59°54′51,3″W","59°54′51,9″W","59°54′52,0″W","3°4′6,2″S","3°4′6,4″S","3°4′6,7″S","3°4′6,4″S",-59.914283477839,-59.9142537503856,-59.914417827463,-59.9144507989421,-3.06837778978944,-3.06843991428583,-3.06851599072668,-3.06845321902782
"34",34,"Ze_e_Maria_34",42961592063,"rua Kokama",36,36,34,"59°54′51,3″W","59°54′51,2″W","59°54′51,8″W","59°54′51,9″W","3°4′6,4″S","3°4′6,6″S","3°4′6,9″S","3°4′6,7″S",-59.9142537503856,-59.9142190418234,-59.914379013207,-59.914417827463,-3.06843991428583,-3.06851097342256,-3.06858959898618,-3.06851599072668
"35",35,"Ze_e_Maria_35",26252634361,"rua Kokama",38,NA,35,"59°54′51,2″W","59°54′51,1″W","59°54′51,6″W","59°54′51,8″W","3°4′6,6″S","3°4′6,9″S","3°4′7,2″S","3°4′6,9″S",-59.9142189500709,-59.9141856488408,-59.9143468866433,-59.914379013207,-3.06851092973681,-3.06858050687637,-3.06865351899717,-3.06858959898618
"36",36,"Ze_e_Maria_36",90587105693,"rua Kokama",42,42,36,"59°54′51,0″W","59°54′50,8″W","59°54′51,4″W","59°54′51,5″W","3°4′7,1″S","3°4′7,5″S","3°4′7,7″S","3°4′7,4″S",-59.9141555991702,-59.9141207277947,-59.9142863867609,-59.9143190178223,-3.06865261034446,-3.06873628282298,-3.06880300468028,-3.06871915357301
"37",37,"Ze_e_Maria_37",43940030580,"rua Kokama",44,NA,37,"59°54′50,8″W","59°54′50,8″W","59°54′51,4″W","59°54′51,4″W","3°4′7,5″S","3°4′7,7″S","3°4′7,9″S","3°4′7,7″S",-59.9141207277947,-59.9140976249804,-59.9142650783913,-59.9142863867609,-3.06873628282298,-3.06879186603614,-3.06885802534367,-3.06880300468028
